step,reward,acc,fmt,len,clipped,mem,step_time,lr,ppl_abs_diff,ess,is_weight,clipped_frac,r_std,zero_std,grad,tr_ppl,ro_ppl,ent,ent_thr,soft_ol,clip_region
11,0.526,0.3348,0.9665,906.5,0.008929,68.13,53.37,1e-05,0.04872,0.9882,0.9966,0.001689,0.3661,0,0.004957,2.422,2.308,0.7133,1.489,-0.01039,0
12,0.5632,0.3705,0.9799,1114,0.01339,68.13,85.56,1e-05,0.0485,0.9875,0.9955,0.001624,0.4136,0,0.003215,2.119,2.023,0.6537,1.297,-0.01655,0
13,0.5208,0.3304,0.971,971.2,0.01786,68.13,68.79,1e-05,0.05784,0.9862,0.995,0.001885,0.3899,0,0.004221,2.085,1.963,0.6372,1.568,-0.01858,0
14,0.5269,0.3438,0.9554,1209,0.03125,68.13,43.7,1e-05,0.06553,0.9837,0.9929,0.00299,0.3908,0,0.003828,2.303,2.161,0.7081,0.7899,-0.0394,0
15,0.54,0.3571,0.9598,1243,0.03571,68.13,30.98,1e-05,0.05861,0.9871,0.9953,0.001948,0.382,0,0.004016,2.385,2.236,0.6958,1.244,-0.04545,0
16,0.5201,0.3214,0.9933,614.6,0,68.13,28.9,1e-05,0.1123,0.968,0.9838,0.007678,0.3925,0,0.003394,3.056,2.652,0.8694,1.943,0,0
17,0.5366,0.3393,0.9933,897.2,0.004464,68.13,59.5,1e-05,0.05782,0.9857,0.996,0.00205,0.4497,0,0.004331,2.51,2.369,0.7855,1.613,-0.006662,0
18,0.5577,0.3661,0.9732,972.3,0.01339,68.13,49.92,1e-05,0.05426,0.9865,0.9958,0.001859,0.4165,0,0.004416,2.732,2.58,0.7533,2.088,-0.01515,0
19,0.574,0.375,0.9978,720.8,0,68.13,53.37,1e-05,0.0675,0.9825,0.9926,0.003503,0.4536,0,0.003052,2.294,2.129,0.7244,1.29,-0.002535,0
20,0.5786,0.3795,0.9955,737.4,0,68.13,57.11,1e-05,0.05953,0.9829,0.9936,0.00277,0.4654,0,0.003369,2.526,2.369,0.754,1.782,0,0
21,0.5728,0.3795,0.9799,895.6,0.01339,68.13,65.99,1e-05,0.05214,0.9882,0.9961,0.001329,0.4026,0,0.004971,2.444,2.305,0.743,1.056,-0.01339,0
22,0.5941,0.3973,0.9888,782.1,0.004464,70.95,36.16,1e-05,0.0564,0.9864,0.996,0.002004,0.436,0,0.004479,2.504,2.371,0.7353,1.376,-0.005149,0
23,0.3969,0.2009,0.9888,974.4,0.004464,84.49,28.07,1e-05,0.05489,0.985,0.9964,0.00232,0.3542,0,0.004598,2.539,2.406,0.7744,1.215,-0.008828,0
24,0.5144,0.317,0.9933,956.5,0.004464,84.49,55.65,1e-05,0.04695,0.9865,0.996,0.002313,0.4218,0,0.006877,2.273,2.16,0.6921,1.258,-0.006267,0
25,0.5062,0.3125,0.9866,1210,0.01339,84.49,70.4,1e-05,0.05879,0.9775,0.9912,0.004867,0.3922,0,0.004408,2.373,2.209,0.7498,1.676,-0.01815,0
26,0.6198,0.4241,0.9888,674.8,0.008929,84.49,43.66,1e-05,0.06682,0.9853,0.9935,0.001747,0.4615,0,0.004005,2.409,2.243,0.7715,1.42,-0.01039,0
27,0.6133,0.4196,0.9844,912,0.01339,84.49,59.28,1e-05,0.05116,0.9894,0.9958,0.001231,0.4522,0,0.003811,2.195,2.081,0.6302,1.038,-0.01627,0
28,0.4571,0.2723,0.9621,1246,0.03571,84.49,52.07,1e-05,0.05645,0.9811,0.9932,0.003653,0.407,0,0.005225,2.352,2.2,0.7224,0.8688,-0.03835,0
29,0.4228,0.2277,0.9844,979.2,0.004464,84.49,41.3,1e-05,0.07569,0.9783,0.9928,0.004551,0.3756,0,0.00523,2.389,2.156,0.7367,1.509,-0.008807,0
30,0.4464,0.2545,0.9799,1034,0.01786,84.87,82.05,1e-05,0.06716,0.9841,0.995,0.00273,0.3916,0,0.006227,2.638,2.303,0.6799,1.156,-0.02006,0
31,0.5251,0.3259,1,579.3,0,84.87,69.05,1e-05,0.08915,0.9832,0.9932,0.002942,0.4345,0,0.005156,2.298,2.115,0.6674,0.6719,-0.003904,0
32,0.4866,0.2902,0.9911,710.7,0.008929,84.87,66.23,1e-05,0.07907,0.9847,0.9934,0.00216,0.3942,0,0.003542,2.129,1.975,0.6387,0.7347,-0.008929,0
33,0.5982,0.4018,0.9911,625,0.008929,84.87,87.63,1e-05,0.08162,0.9834,0.9946,0.002782,0.4302,0,0.005133,2.448,2.254,0.7291,0.5769,-0.008929,0
34,0.5371,0.3393,0.9911,709.4,0,84.87,56.84,1e-05,0.07666,0.9805,0.9927,0.003686,0.408,0,0.003744,2.353,2.16,0.6652,1.48,-0.002019,0
35,0.5871,0.3929,0.9799,1085,0.008929,84.87,57.92,1e-05,0.05881,0.9847,0.9948,0.002964,0.4523,0,0.004367,2.223,2.034,0.6288,1.462,-0.008929,0
36,0.5696,0.3705,0.9955,784.7,0,84.87,41.43,1e-05,0.06878,0.9779,0.9922,0.005355,0.4325,0,0.003495,2.488,2.294,0.7602,2.289,0,0
37,0.5662,0.3705,0.9888,866.4,0.008929,84.87,67.99,1e-05,0.0628,0.9836,0.9935,0.003139,0.4138,0,0.005156,2.358,2.196,0.7106,1.951,-0.01041,0
38,0.5788,0.3839,0.9888,1192,0.008929,84.87,40.77,1e-05,0.04531,0.9862,0.9958,0.002517,0.4101,0,0.005705,2.187,2.076,0.6552,0.9143,-0.01453,0
39,0.5446,0.3482,0.9866,875.3,0.004464,84.87,69.6,1e-05,0.06782,0.9838,0.9943,0.003137,0.4394,0,0.004108,2.426,2.206,0.6994,1.478,-0.004844,0
40,0.6533,0.4598,0.9777,909.3,0.008929,84.87,48.94,1e-05,0.05472,0.9812,0.9957,0.004279,0.4254,0,0.003644,2.44,2.29,0.7367,1.659,-0.01048,0
41,0.4177,0.2232,0.9844,1297,0.004464,84.87,86.81,1e-05,0.04384,0.9885,0.9965,0.00168,0.3379,0,0.007541,2.016,1.931,0.612,0.9545,-0.01198,0
42,0.4701,0.2723,0.9933,829.9,0.004464,84.87,67.03,1e-05,0.05664,0.9858,0.9958,0.002552,0.3817,0,0.004806,2.694,2.546,0.712,1.651,-0.004464,0
43,0.5464,0.3482,0.9911,807,0,84.87,57.1,1e-05,0.07131,0.9757,0.9914,0.005211,0.3608,0,0.00524,2.533,2.333,0.755,2.096,0,0
44,0.45,0.2589,0.9777,1176,0.02232,84.87,71.1,1e-05,0.05327,0.9858,0.9959,0.00259,0.4267,0,0.004709,1.812,1.719,0.5307,0.6572,-0.02232,0
45,0.5317,0.3393,0.9799,1037,0.01786,84.87,34.72,1e-05,0.06857,0.9813,0.9933,0.003232,0.4276,0,0.004869,2.477,2.297,0.74,1.382,-0.01786,0
46,0.6007,0.4062,0.9866,951.5,0.008929,84.88,39.51,1e-05,0.0776,0.9767,0.99,0.005216,0.4524,0,0.004866,2.622,2.394,0.8162,1.238,-0.01459,0
47,0.5328,0.3393,0.9821,916.9,0.008929,84.88,42.87,1e-05,0.07008,0.9793,0.9947,0.003853,0.3943,0,0.005075,2.833,2.61,0.9186,1.641,-0.0148,0
48,0.4922,0.3036,0.9621,1148,0.01786,84.88,68.98,1e-05,0.05301,0.9894,0.9964,0.001283,0.4023,0,0.003561,2.232,2.115,0.6673,0.9346,-0.01908,0
49,0.4132,0.2277,0.9643,1341,0.02679,84.88,69.59,1e-05,0.05388,0.9881,0.9963,0.001367,0.403,0,0.00697,2.162,2.036,0.6642,1.472,-0.0365,0
50,0.4098,0.2232,0.9643,1285,0.03125,84.88,52.66,1e-05,0.05587,0.9809,0.9945,0.003139,0.372,0,0.005302,3.025,2.843,0.949,1.624,-0.03125,0
51,0.4359,0.25,0.9688,1433,0.03125,84.88,59.32,1e-05,0.0616,0.982,0.9945,0.003413,0.3551,0,0.00608,2.624,2.45,0.7968,1.507,-0.03948,0
52,0.461,0.2634,0.9911,881.3,0,84.88,50.07,1e-05,0.0702,0.9817,0.9942,0.003036,0.3916,0,0.003346,3.173,2.769,0.8911,2.024,-0.003283,0
53,0.487,0.2902,0.9933,1155,0.004464,84.88,66.15,1e-05,0.05154,0.9884,0.9965,0.00134,0.4259,0,0.004619,2.354,2.234,0.7402,1.648,-0.009092,0
54,0.4717,0.2857,0.971,1431,0.03125,84.88,69.21,1e-05,0.06314,0.9843,0.9936,0.002753,0.4215,0,0.006574,2.416,2.245,0.7273,1.441,-0.0411,0
55,0.5736,0.3839,0.9688,1097,0.01786,84.88,36.83,1e-05,0.0589,0.9846,0.9939,0.002517,0.3706,0,0.003871,2.536,2.383,0.7792,1.908,-0.02048,0
56,0.5406,0.3482,0.9777,1242,0.01339,84.88,65.31,1e-05,0.05589,0.9821,0.9945,0.003312,0.348,0,0.005178,2.632,2.465,0.8309,1.764,-0.0159,0
57,0.4768,0.2857,0.9799,1266,0.01786,84.88,56.44,1e-05,0.0686,0.9773,0.9911,0.004896,0.419,0,0.004693,2.827,2.609,0.8857,1.466,-0.02441,0
58,0.4611,0.2679,0.9844,1030,0.01339,84.88,46.5,1e-05,0.0521,0.9869,0.997,0.001737,0.4155,0,0.004925,2.508,2.377,0.8048,1.538,-0.0184,0
59,0.5707,0.375,0.9911,916.2,0.008929,85,64.12,1e-05,0.07387,0.9742,0.992,0.005655,0.4244,0,0.00525,2.823,2.606,0.8696,2.132,-0.01246,0
60,0.4068,0.2143,0.9799,1123,0.01339,85,61.81,1e-05,0.04637,0.9872,0.9971,0.002002,0.3788,0,0.005312,2.542,2.423,0.8021,1.861,-0.01745,0
61,0.4527,0.2589,0.9821,1310,0.01339,85,65.67,1e-05,0.05624,0.9845,0.9952,0.002355,0.383,0,0.005945,2.38,2.235,0.7374,1.124,-0.01349,0
62,0.4685,0.2723,0.9933,1170,0.004464,54.62,89.82,1e-05,0.04358,0.9873,0.9961,0.001889,0.3756,0,0.005129,2.3,2.206,0.701,1.391,-0.01255,0
63,0.5178,0.3214,0.9933,940.2,0.004464,84.72,40.78,1e-05,0.06005,0.9867,0.9957,0.002117,0.4281,0,0.004484,2.342,2.213,0.7162,1.915,-0.01121,0
64,0.5241,0.3259,0.9955,874.3,0.004464,84.94,46.5,1e-05,0.05847,0.9861,0.9949,0.001977,0.4117,0,0.004004,2.414,2.288,0.7612,1.619,-0.004464,0
65,0.4945,0.2991,0.9866,1013,0.008929,84.94,42.05,1e-05,0.04736,0.9892,0.9965,0.00134,0.4079,0,0.003528,2.184,2.084,0.6497,1.619,-0.009685,0
66,0.5376,0.3482,0.9754,1308,0.02232,84.94,44,1e-05,0.05062,0.9891,0.9962,0.00108,0.4147,0,0.005961,3.035,2.891,0.8709,2.114,-0.0285,0
67,0.4978,0.2991,0.9933,822.3,0,84.94,21.38,1e-05,0.06581,0.9835,0.9933,0.002955,0.3966,0,0.004802,2.71,2.552,0.8509,1.983,0,0
68,0.4899,0.2946,0.9888,1119,0.008929,84.94,38.45,1e-05,0.06444,0.9798,0.9915,0.004228,0.3986,0,0.006268,2.276,2.117,0.7063,1.484,-0.01258,0
69,0.495,0.2991,0.9911,1087,0.008929,84.94,94.21,1e-05,0.05496,0.9829,0.9937,0.0036,0.4471,0,0.005223,2.321,2.185,0.7038,1.537,-0.01175,0
70,0.4199,0.2277,0.9821,1203,0.01339,84.94,42.63,1e-05,0.0569,0.9836,0.9937,0.003005,0.3523,0,0.005223,2.699,2.549,0.7824,1.8,-0.02111,0
71,0.4234,0.2277,0.9888,1045,0.008929,84.94,39.57,1e-05,0.05046,0.9879,0.9952,0.001842,0.3232,0,0.004815,2.294,2.187,0.6784,1.68,-0.01021,0
72,0.5268,0.3304,0.9911,836,0.008929,84.94,30.59,1e-05,0.05702,0.9848,0.995,0.002613,0.4315,0,0.004489,2.33,2.206,0.6976,1.516,-0.008929,0
73,0.6323,0.433,1,749.5,0,84.94,52.26,1e-05,0.06155,0.9836,0.9943,0.002954,0.473,0,0.004058,2.219,2.086,0.6693,1.367,-0.003472,0
74,0.4217,0.2277,0.9844,1036,0.008929,84.94,52.86,1e-05,0.06833,0.9828,0.9931,0.002877,0.3981,0,0.004512,2.676,2.5,0.7879,1.841,-0.01407,0
75,0.4678,0.2723,0.9821,1188,0.004464,84.94,62.14,1e-05,0.04487,0.9893,0.9965,0.001268,0.3557,0,0.005053,2.392,2.29,0.737,1.743,-0.004606,0
76,0.5518,0.3527,1,899.6,0,84.94,46.89,1e-05,0.04646,0.9867,0.9961,0.001566,0.3807,0,0.004439,2.146,2.047,0.6635,1.799,-0.004157,0
77,0.5875,0.3884,0.9955,760.7,0,84.94,29.25,1e-05,0.0647,0.9855,0.994,0.002026,0.4429,0,0.005708,2.718,2.527,0.8188,1.047,0,0
78,0.5134,0.317,0.9866,901.3,0.004464,84.94,50.45,1e-05,0.04966,0.9875,0.9955,0.001708,0.4297,0,0.004433,2.262,2.16,0.7082,1.987,-0.004464,0
79,0.6182,0.4196,0.9978,876.3,0,84.94,72.71,1e-05,0.05243,0.9867,0.9956,0.001643,0.4155,0,0.00452,2.133,2.025,0.6706,1.518,-0.005055,0
80,0.4466,0.2545,0.9777,1155,0.01339,84.94,45.69,1e-05,0.04888,0.984,0.9942,0.002919,0.3723,0,0.005007,2.276,2.165,0.6989,1.601,-0.01695,0
81,0.4778,0.2857,0.9799,1128,0.01786,84.94,55.37,1e-05,0.05423,0.9835,0.9936,0.002964,0.3781,0,0.005317,2.23,2.104,0.6891,1.668,-0.01953,0
82,0.5566,0.3616,0.9866,939.7,0.008929,84.94,51.48,9.99e-06,0.05228,0.9875,0.996,0.001443,0.4378,0,0.004807,2.239,2.122,0.6897,1.624,-0.01178,0
83,0.5156,0.3214,0.9799,929,0.008929,84.94,67.14,9.99e-06,0.04264,0.9886,0.9969,0.001319,0.3979,0,0.003363,2.451,2.347,0.7496,1.888,-0.008929,0
84,0.5228,0.3259,0.9911,868.8,0.004464,84.94,41.52,9.99e-06,0.05169,0.9882,0.9959,0.001622,0.4075,0,0.004778,2.142,2.031,0.6594,1.233,-0.006359,0
85,0.5137,0.317,0.9911,893.2,0.004464,84.94,54.82,9.99e-06,0.04995,0.9888,0.996,0.001314,0.4029,0,0.005144,2.116,2.01,0.6513,1.445,-0.007241,0
86,0.648,0.4509,0.9866,874.4,0,84.94,44.21,9.99e-06,0.05537,0.9837,0.9954,0.002928,0.442,0,0.003781,2.443,2.297,0.7507,1.274,-0.0009046,0
87,0.4674,0.2723,0.9844,889,0.008929,84.94,43.23,9.99e-06,0.04501,0.9887,0.9967,0.001194,0.3959,0,0.006107,2.369,2.26,0.7205,1.721,-0.008929,0
88,0.4909,0.2946,0.9888,833.4,0.004464,84.94,50.1,9.99e-06,0.05401,0.988,0.9966,0.001849,0.4071,0,0.003967,2.383,2.26,0.7166,1.277,-0.007669,0
89,0.4768,0.2902,0.9643,1193,0.02232,84.94,64.2,9.99e-06,0.05062,0.9851,0.9948,0.002716,0.3993,0,0.0045,2.588,2.447,0.7896,1.576,-0.03096,0
90,0.6316,0.433,0.9955,806.3,0,84.94,23.75,9.99e-06,0.05213,0.9892,0.9964,0.001336,0.4112,0,0.004188,2.425,2.306,0.703,1.078,-0.002825,0
91,0.5971,0.4018,0.9866,989.9,0.008929,84.94,56.48,9.99e-06,0.05748,0.9883,0.9964,0.001394,0.4145,0,0.004081,2.151,2.035,0.6578,1.315,-0.01026,0
92,0.544,0.3527,0.9754,1062,0.01786,84.94,61.83,9.99e-06,0.05408,0.9866,0.9948,0.001932,0.4336,0,0.005053,2.312,2.188,0.7006,1.3,-0.01896,0
93,0.6029,0.4062,0.9888,549.3,0.004464,84.94,51.09,9.99e-06,0.09097,0.9825,0.9948,0.003307,0.4137,0,0.004387,2.414,2.206,0.7318,0.9092,-0.005785,0
94,0.5656,0.3661,1,597.7,0,84.94,58.1,9.99e-06,0.08138,0.9829,0.9931,0.002764,0.3927,0,0.003264,2.331,2.152,0.6789,0.848,-0.002524,0
95,0.6071,0.4107,0.9866,546.7,0.004464,84.94,61.05,9.99e-06,0.0925,0.9822,0.9942,0.00312,0.3977,0,0.003643,2.581,2.359,0.7453,0.7148,-0.004464,0
96,0.5937,0.3973,0.9911,556.2,0.008929,84.94,63.42,9.99e-06,0.1056,0.9818,0.9913,0.003159,0.422,0,0.003548,2.172,1.964,0.6232,0.6727,-0.009048,0
97,0.6142,0.4152,0.9955,927.9,0,84.94,62.08,9.99e-06,0.06694,0.9787,0.9922,0.004395,0.4177,0,0.003915,2.472,2.235,0.7019,2.412,-0.0003357,0
98,0.5342,0.3348,0.9978,901.8,0,84.94,72.74,9.99e-06,0.05528,0.984,0.9937,0.002922,0.4068,0,0.004068,2.186,2.047,0.6609,1.93,-0.001051,0
99,0.5204,0.3214,0.9955,752.3,0,84.94,24.9,9.99e-06,0.06801,0.9792,0.9905,0.004239,0.378,0,0.003259,2.483,2.303,0.7718,1.844,-0.0005123,0
100,0.5522,0.3527,1,893.7,0,84.94,59.86,9.99e-06,0.07917,0.9738,0.9872,0.005942,0.3775,0,0.005524,2.69,2.454,0.8294,1.712,-0.002295,0
101,0.6315,0.433,0.9955,806.5,0,84.94,44.7,9.99e-06,0.0762,0.9727,0.9896,0.006513,0.4371,0,0.004388,2.962,2.71,0.837,2.374,-0.003204,0
102,0.608,0.4107,0.9911,699.5,0.004464,84.94,34.99,9.99e-06,0.07994,0.9783,0.9916,0.00393,0.3907,0,0.003869,3.016,2.773,0.8924,2.204,-0.004464,0
103,0.5993,0.4018,0.9955,797.8,0.004464,84.94,51.85,9.99e-06,0.06936,0.9807,0.9929,0.003506,0.4824,0,0.005499,2.863,2.666,0.9112,2.004,-0.007817,0
104,0.3345,0.1384,0.9911,1108,0.008929,84.94,83.35,9.99e-06,0.05156,0.9861,0.9959,0.002107,0.2897,0,0.007623,2.339,2.225,0.727,1.139,-0.01034,0
105,0.4014,0.2098,0.9799,1200,0.01786,84.94,77.71,9.99e-06,0.04915,0.9872,0.9963,0.002442,0.3632,0,0.006753,2.145,2.044,0.635,1.636,-0.02189,0
106,0.4648,0.2679,0.9911,1183,0.004464,84.94,74.69,9.99e-06,0.05336,0.9876,0.9956,0.001663,0.4052,0,0.005627,1.937,1.833,0.5631,0.8932,-0.006439,0
107,0.4679,0.2679,1,766.2,0,84.94,57.92,9.99e-06,0.07584,0.9842,0.9952,0.00266,0.3841,0,0.00396,1.933,1.776,0.54,0.7949,0,0
108,0.4322,0.2411,0.9754,1330,0.01786,84.94,63.8,9.99e-06,0.05349,0.9872,0.9957,0.001726,0.358,0,0.004826,2.38,2.262,0.7441,1.52,-0.01973,0
109,0.4813,0.2857,0.9844,1173,0.004464,84.94,49.72,9.99e-06,0.05004,0.9886,0.9967,0.001614,0.3955,0,0.004047,2.74,2.597,0.8135,1.713,-0.0065,0
110,0.4349,0.2411,0.9888,1143,0.008929,84.94,36.49,9.99e-06,0.0469,0.988,0.9961,0.00131,0.3799,0,0.004435,2.221,2.111,0.6818,1.42,-0.01957,0
111,0.592,0.3929,0.9955,681.1,0,84.94,29.93,9.99e-06,0.05729,0.9857,0.9951,0.002356,0.4453,0,0.004132,2.417,2.279,0.74,0.8679,0,0
112,0.4639,0.2723,0.9732,1146,0.01339,84.94,73.85,9.99e-06,0.0517,0.9871,0.9964,0.001881,0.4022,0,0.006776,2.373,2.248,0.7406,1.854,-0.01557,0
113,0.4039,0.2188,0.9621,1387,0.02679,84.94,67.74,9.99e-06,0.04652,0.9893,0.9971,0.001295,0.3572,0,0.006779,2.166,2.062,0.6583,1.995,-0.03624,0
114,0.4655,0.2679,0.9933,1197,0,84.94,45.68,9.99e-06,0.0615,0.9804,0.9935,0.004124,0.4125,0,0.005005,2.742,2.546,0.8612,1.95,-0.005042,0
115,0.4848,0.2902,0.9821,1069,0.008929,84.94,35.65,9.99e-06,0.07756,0.9766,0.9894,0.004986,0.3859,0,0.004242,2.408,2.196,0.7464,1.735,-0.008929,0
116,0.5338,0.3348,0.9955,1004,0,84.94,30.12,9.99e-06,0.06344,0.9764,0.9912,0.005177,0.3719,0,0.005372,2.924,2.704,0.8753,1.971,-0.0007542,0
117,0.5565,0.3571,1,922.2,0,84.94,24.76,9.99e-06,0.05166,0.9856,0.9978,0.001696,0.4525,0,0.004804,2.674,2.524,0.851,1.608,-0.003278,0
118,0.5969,0.3973,0.9978,579.1,0,84.94,31.84,9.99e-06,0.08445,0.9835,0.9942,0.002185,0.4303,0,0.004993,2.796,2.577,0.8679,1.366,0,0
119,0.4353,0.2411,0.9866,1263,0.008929,84.94,69.15,9.99e-06,0.05736,0.9882,0.996,0.001629,0.4029,0,0.004812,2.246,2.118,0.6891,1.601,-0.01566,0
120,0.4515,0.2589,0.9799,1247,0.01339,84.94,79.49,9.99e-06,0.06896,0.9854,0.9959,0.002453,0.3788,0,0.007123,2.54,2.351,0.8067,1.997,-0.01728,0
121,0.4674,0.2768,0.9688,1119,0.01339,84.94,33.83,9.99e-06,0.04525,0.9884,0.9972,0.001396,0.3794,0,0.003808,2.456,2.341,0.7692,1.478,-0.01578,0
122,0.4564,0.2634,0.9911,1325,0.008929,84.94,67.58,9.99e-06,0.0427,0.9882,0.9971,0.001214,0.4022,0,0.005305,2.884,2.754,0.8735,1.247,-0.02608,0
123,0.543,0.3438,1,811.3,0,84.94,36.38,9.99e-06,0.08345,0.9726,0.9883,0.005584,0.4211,0,0.003779,2.539,2.321,0.7979,1.009,-0.003581,0
124,0.4747,0.2812,0.9844,1080,0.01339,84.94,51.17,9.99e-06,0.05385,0.986,0.9951,0.002054,0.3898,0,0.005494,2.606,2.469,0.8075,1.559,-0.01698,0
125,0.5879,0.3884,0.9978,652.7,0,84.94,22.5,9.99e-06,0.05901,0.9848,0.9949,0.003056,0.4334,0,0.004192,2.246,2.117,0.6713,1.198,0,0
126,0.5198,0.3259,0.9888,1284,0.008929,84.94,53.08,9.99e-06,0.06187,0.9789,0.9939,0.004126,0.3798,0,0.005696,2.713,2.535,0.8682,2.082,-0.01936,0
127,0.5147,0.317,0.9933,1392,0,84.94,58,9.99e-06,0.05134,0.9771,0.9943,0.004686,0.3652,0,0.006203,2.726,2.576,0.9015,1.478,-0.004414,0
128,0.4183,0.2232,0.9844,1141,0.008929,78.09,48.74,9.99e-06,0.05374,0.9864,0.9961,0.002147,0.3871,0,0.005819,2.445,2.326,0.7364,2.192,-0.008929,0
129,0.4655,0.2723,0.9821,1295,0.01339,78.09,69.29,9.99e-06,0.04988,0.9875,0.9964,0.001871,0.3943,0,0.006113,2.384,2.256,0.7185,1.707,-0.01602,0
130,0.454,0.2545,0.9978,1134,0,78.09,46.57,9.99e-06,0.04754,0.9875,0.9957,0.001956,0.3922,0,0.004457,2.521,2.416,0.7473,2.309,0,0
131,0.5619,0.3661,0.9844,852.6,0.004464,78.09,37.05,9.99e-06,0.05269,0.9872,0.997,0.001771,0.4266,0,0.004363,2.703,2.566,0.8244,1.512,-0.00514,0
132,0.432,0.2321,1,943.2,0,78.09,47.47,9.99e-06,0.04824,0.9879,0.9961,0.001576,0.3907,0,0.005433,2.318,2.218,0.7208,2.077,-0.0009373,0
133,0.5662,0.3705,0.9911,962.2,0.008929,78.09,38.24,9.99e-06,0.07279,0.9802,0.9943,0.003715,0.4693,0,0.004701,2.888,2.688,0.8864,1.399,-0.01275,0
134,0.5489,0.3527,0.9911,948.5,0.008929,78.09,83.29,9.99e-06,0.05878,0.9821,0.994,0.003539,0.4099,0,0.005816,2.351,2.219,0.7272,1.881,-0.01004,0
135,0.5237,0.3259,0.9955,877.6,0.004464,78.09,41.26,9.99e-06,0.05436,0.9869,0.9966,0.001653,0.4205,0,0.004612,2.53,2.4,0.8007,1.914,-0.006566,0
136,0.5563,0.3571,0.9978,898.5,0,78.09,31.95,9.99e-06,0.04914,0.9855,0.9969,0.002389,0.4431,0,0.00524,2.465,2.345,0.7136,1.147,-0.002217,0
137,0.6772,0.4821,0.9799,800,0.004464,78.09,59.68,9.99e-06,0.05941,0.9859,0.9955,0.002586,0.4422,0,0.004607,2.326,2.2,0.6952,0.863,-0.004464,0
138,0.7034,0.5045,0.9955,897.7,0,78.09,49.06,9.99e-06,0.05112,0.9873,0.996,0.001763,0.3893,0,0.003305,1.913,1.821,0.5728,1.342,-0.0006431,0
139,0.565,0.3661,0.9955,833.5,0,78.09,44.03,9.99e-06,0.05878,0.9845,0.9961,0.002439,0.4292,0,0.002981,2.127,2.003,0.6544,1.172,-0.0007324,0
140,0.5874,0.3884,0.9955,887.2,0,78.09,50.65,9.99e-06,0.05751,0.9836,0.9938,0.00294,0.4381,0,0.004025,1.945,1.834,0.5852,1.327,-0.0006758,0
141,0.5041,0.308,0.9911,1115,0.004464,78.09,43.66,9.98e-06,0.04342,0.9887,0.9974,0.001263,0.3732,0,0.007111,2.085,1.997,0.6418,1.703,-0.01079,0
142,0.5951,0.3973,0.9911,1002,0,78.09,32.75,9.98e-06,0.05236,0.9884,0.9973,0.001477,0.43,0,0.004914,2.437,2.266,0.7136,1.541,-0.002047,0
143,0.5518,0.3571,0.9821,920.9,0.008929,78.09,55.44,9.98e-06,0.06875,0.9761,0.9899,0.005589,0.3901,0,0.003466,2.474,2.278,0.7559,1.593,-0.008929,0
144,0.5848,0.3884,0.9888,990.2,0.004464,78.09,40.17,9.98e-06,0.04956,0.9858,0.9953,0.002037,0.4194,0,0.006169,2.244,2.136,0.6895,1.582,-0.006945,0
145,0.6855,0.4866,1,896.6,0,78.09,53.11,9.98e-06,0.0606,0.9856,0.9961,0.00245,0.3989,0,0.005338,2.127,1.988,0.6406,0.9267,-0.005417,0
146,0.5769,0.3795,0.9933,951.8,0.004464,78.09,45.63,9.98e-06,0.0646,0.9844,0.9942,0.002383,0.422,0,0.005515,2.677,2.502,0.7703,1.939,-0.00608,0
